id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag
226,2361.6601715117263,670.112170476053,0.4988356973547628,-0.07545790586317197,-0.033458908125300044,25,2676.529592982274,23531.660353422565,-10.929131428319321,-2.931340675789404
227,2157.927400084936,676.0402731419241,0.5971361180386818,-0.27338698305178744,0.13677235172805893,25,495.40556099443745,2251.5471476153284,-8.381202613906702,-1.2990463304865616
228,1055.6565446185787,676.8444645503564,0.5437029385336407,0.29524628088112737,-0.025152685079487296,25,1072.3860495045524,6831.088307493067,-9.586224749059841,-2.0760157898513425
229,115.754676702587,678.320878966224,0.5609981265819792,-0.3068778589210409,-0.06669517976404098,25,986.3461267119905,5988.217037054739,-9.4432438313348,-1.9657671416393603
230,1102.1535283749408,687.5925125572415,0.6652733816169955,0.14998289811812685,0.037502599334324434,25,429.2508739216945,2169.7784377444664,-8.341038472665534,-1.0032868466846814
231,460.3676931829519,696.0783872570827,0.5659574459790584,0.21466232668294238,-0.004328284834762458,25,320.74809604022005,1553.21409504619,-7.978078307525945,-0.8435948991279424
232,1.2246671740886361,697.0158030573427,0.5563917770831691,-0.20877461597776475,0.04508448663292483,25,1305.5457595088437,8010.794816927556,-9.759189020385653,-2.2828388824123764
233,176.5658380947591,699.2726903364953,0.5168288491060542,-0.7547605407232165,-0.1797211191395158,25,925.9457472053367,6121.059361749255,-9.467066478218287,-1.9284777257438923
234,799.5661457865702,705.5213925896551,0.48580860942833715,0.4027665923768941,-0.04156986469387344,25,736.7668397314486,5200.549152604433,-9.290123013583866,-1.7078157080058587
235,2290.8881760060017,705.0491239560486,0.5988143094953425,-0.2899102272892308,-0.13089483164821633,25,802.2313924017034,4090.8720166258727,-9.029539731902496,-1.7847038022699104
236,2179.318166215306,712.1461963371967,0.6196285906675665,-0.19427673541957569,-0.18023379408943344,25,318.88482995451784,1252.4586718056062,-7.744408510194716,-0.7943451613563441
237,183.51480309345672,712.9215096601579,0.47554948780462447,-0.1370176568739677,-0.10523478656454142,25,3493.151016812343,35101.515372108246,-11.36331466463597,-3.1610118377599354
238,1654.5805845890218,720.0468759799982,0.5379794226728777,-0.1520515975561701,-0.1326359258702643,25,1338.1826511522386,8872.62036986871,-9.870129749723679,-2.2966592729840736
239,813.8584253825852,721.0446335079816,0.5206261381665995,-0.02461000917327365,0.031025952319235037,25,2450.9079238737195,19691.80405322677,-10.735713763995733,-2.857575568398156
240,486.5380220324617,723.2478881107695,0.5369023070047808,0.054643506693028726,-0.02747067530701207,25,633.7747714462661,4235.84132077488,-9.067349206490746,-1.4955586093800073
241,1032.8341979984918,726.1157717898069,0.50297771075776,-0.043914118179537845,-0.015119461914511724,25,2794.465286516841,23343.97972657721,-10.920437243450262,-3.0179928352032275
242,1241.5902351009408,726.5467984950611,0.5538385658600278,-0.38879072162565476,0.17952146376965164,25,260.8490927792585,1665.4310600181889,-8.053816649798012,-0.5487980568881023
243,881.1746173673691,731.0276286058651,0.6578718353523876,-0.13917846014378493,0.12030370772374702,25,424.4823812238827,2096.784333395159,-8.303884407549704,-1.0080522286205422
244,1455.0668092902729,731.3642213963748,0.5253784484805548,0.06980864184261697,0.08267098474982104,25,1500.7017577608372,10834.031353460789,-10.086975220230439,-2.387601536406298
245,731.4180115643278,733.6768028313306,0.557941943923762,0.7570661328422529,0.39265320856419333,25,298.63771142745816,1563.164028227332,-7.985011381094554,-0.7359698528520976
246,460.6494799370845,738.236492980694,0.5559105641280093,-0.19744675073300094,0.02225758846221398,25,460.1085840023451,2050.696324840197,-8.279753382746009,-1.2658490652471885
247,814.2201757437792,740.2014472299592,0.5583276392142197,0.08696254988813885,-0.0020636126912659254,25,774.5357663774597,4446.502211981454,-9.120046281745646,-1.7464429026252741
248,1493.127904762045,739.7087920346706,0.5596623496457869,-0.1467399838721579,0.04073853710447118,25,1433.7998445611001,8942.818951605197,-9.878686096249307,-2.3676484373118627
249,1613.700017811021,740.7159977022542,0.5487727322912199,0.22470304978488534,-0.018303618349766775,25,1074.4690583496495,6542.634481572242,-9.539381645438564,-2.080879649604099
250,84.49961899234113,743.8021468950192,0.5160806180219277,-0.14043608118045112,-0.12303698505502757,25,596.3999485318176,3893.660206169063,-8.975895121539446,-1.4454930944358728
